0	0	0	25	45.6
1	128	0	25	43.3
2	128	0	25	46.2
3	128	0	25	42.3
4	128	0	25	44.7
5	128	0	25	43.6
6	0	0	25	44
7	0	0	25	44.8
8	0	0	25	49.8
9	0	0	25	47.9
10	0	0	25	45.4
11	256	0	25	45
12	256	0	25	43.5
13	256	0	25	45.9
14	256	0	25	43
15	256	0	25	48.1
16	0	0	25	44.1
17	0	0	25	45
18	0	0	25	46.1
19	0	0	25	43.3
20	0	0	25	43.8
21	512	0	30	42
22	512	0	30	48.2
23	512	0	30	45
24	512	0	30	46.7
25	512	0	30	50.5
26	0	0	25	48.5
27	0	0	25	46.3
28	0	0	25	48.3
29	0	0	25	49
30	0	0	25	46.4
31	1024	0	48	47.4
32	1024	0	48	48.6
33	1024	0	48	48.2
34	1024	0	48	44.5
35	1024	0	48	39.5
36	0	0	30	48.7
37	0	0	25	42.4
38	0	0	25	58
39	0	0	25	52.4
40	0	0	25	46.5
41	2048	0.115918	81	52.3
42	2048	0.115918	81	53.2
43	2048	0.115918	81	48.1
44	2048	0.115918	81	43.9
45	2048	0.115918	81	47.2
46	0	0	25	52
47	0	0	25	59.8
48	0	0	25	50.9
49	0	0	25	50.2
50	0	0	25	46.8
51	4096	0.543408	83	48.5
52	4096	0.543408	83	48.5
53	4096	0.543408	83	51.2
54	4096	0.543408	83	46.1
55	4096	0.543408	83	44
56	0	0	25	54
57	0	0	25	46.8
58	0	0	25	41.3
59	0	0	25	43.6
60	0	0	25	49.4

